日期,价格,手数,占比%,主动买,主动卖
2026-08-14,69.35,251,0.62,,
2026-08-14,69.45,462,1.14,,
2026-08-14,69.48,227,0.56,,
2026-08-14,69.5,105,0.26,,
2026-08-14,69.51,176,0.43,,
2026-08-14,69.58,60,0.15,,
2026-08-14,69.6,540,1.33,,
2026-08-14,69.63,111,0.27,,
2026-08-14,69.66,382,0.94,,
2026-08-14,69.69,59,0.15,,
2026-08-14,69.7,465,1.15,,
2026-08-14,69.74,602,1.49,,
2026-08-14,69.75,240,0.59,,
2026-08-14,69.76,512,1.26,,
2026-08-14,69.78,82,0.20,,
2026-08-14,69.8,551,1.36,,
2026-08-14,69.82,188,0.46,,
2026-08-14,69.83,115,0.28,,
2026-08-14,69.84,554,1.37,,
2026-08-14,69.85,362,0.89,,
2026-08-14,69.87,531,1.31,,
2026-08-14,69.88,341,0.84,,
2026-08-14,69.89,681,1.68,,
2026-08-14,69.9,87,0.21,,
2026-08-14,69.91,418,1.03,,
2026-08-14,69.92,144,0.36,,
2026-08-14,69.93,560,1.38,,
2026-08-14,69.95,52,0.13,,
2026-08-14,69.96,466,1.15,,
2026-08-14,69.99,273,0.67,,
2026-08-14,70.0,245,0.60,,
2026-08-14,70.01,497,1.23,,
2026-08-14,70.02,927,2.29,,
2026-08-14,70.03,41,0.10,,
2026-08-14,70.04,73,0.18,,
2026-08-14,70.05,328,0.81,,
2026-08-14,70.06,67,0.17,,
2026-08-14,70.07,305,0.75,,
2026-08-14,70.08,794,1.96,,
2026-08-14,70.09,410,1.01,,
2026-08-14,70.1,1356,3.35,,
2026-08-14,70.11,35,0.09,,
2026-08-14,70.12,377,0.93,,
2026-08-14,70.13,309,0.76,,
2026-08-14,70.15,84,0.21,,
2026-08-14,70.16,362,0.89,,
2026-08-14,70.17,44,0.11,,
2026-08-14,70.18,42,0.10,,
2026-08-14,70.19,254,0.63,,
2026-08-14,70.2,1438,3.55,,
2026-08-14,70.21,72,0.18,,
2026-08-14,70.22,404,1.00,,
2026-08-14,70.23,150,0.37,,
2026-08-14,70.24,609,1.50,,
2026-08-14,70.25,526,1.30,,
2026-08-14,70.26,99,0.24,,
2026-08-14,70.27,148,0.37,,
2026-08-14,70.28,525,1.30,,
2026-08-14,70.29,246,0.61,,
2026-08-14,70.3,254,0.63,,
2026-08-14,70.31,961,2.37,,
2026-08-14,70.33,85,0.21,,
2026-08-14,70.34,128,0.32,,
2026-08-14,70.35,722,1.78,,
2026-08-14,70.36,472,1.17,,
2026-08-14,70.37,318,0.79,,
2026-08-14,70.38,241,0.60,,
2026-08-14,70.4,534,1.32,,
2026-08-14,70.41,133,0.33,,
2026-08-14,70.42,21,0.05,,
2026-08-14,70.44,38,0.09,,
2026-08-14,70.45,124,0.31,,
2026-08-14,70.46,214,0.53,,
2026-08-14,70.47,235,0.58,,
2026-08-14,70.5,115,0.28,,
2026-08-14,70.51,209,0.52,,
