日期,价格,手数,占比%,主动买,主动卖
2026-08-28,43.98,763,0.59,,
2026-08-28,44.0,1637,1.26,,
2026-08-28,44.01,1502,1.16,,
2026-08-28,44.02,541,0.42,,
2026-08-28,44.03,1017,0.79,,
2026-08-28,44.04,1104,0.85,,
2026-08-28,44.06,442,0.34,,
2026-08-28,44.08,351,0.27,,
2026-08-28,44.1,281,0.22,,
2026-08-28,44.11,258,0.20,,
2026-08-28,44.12,551,0.43,,
2026-08-28,44.15,538,0.42,,
2026-08-28,44.16,259,0.20,,
2026-08-28,44.22,396,0.31,,
2026-08-28,44.23,294,0.23,,
2026-08-28,44.25,1365,1.05,,
2026-08-28,44.26,1092,0.84,,
2026-08-28,44.27,302,0.23,,
2026-08-28,44.28,740,0.57,,
2026-08-28,44.29,813,0.63,,
2026-08-28,44.3,742,0.57,,
2026-08-28,44.31,661,0.51,,
2026-08-28,44.32,590,0.46,,
2026-08-28,44.33,958,0.74,,
2026-08-28,44.34,714,0.55,,
2026-08-28,44.36,1144,0.88,,
2026-08-28,44.37,448,0.35,,
2026-08-28,44.38,318,0.25,,
2026-08-28,44.39,213,0.16,,
2026-08-28,44.4,728,0.56,,
2026-08-28,44.42,1255,0.97,,
2026-08-28,44.43,138,0.11,,
2026-08-28,44.45,931,0.72,,
2026-08-28,44.46,573,0.44,,
2026-08-28,44.5,810,0.63,,
2026-08-28,44.51,213,0.16,,
2026-08-28,44.53,164,0.13,,
2026-08-28,44.54,3247,2.51,,
2026-08-28,44.57,1799,1.39,,
2026-08-28,44.58,178,0.14,,
2026-08-28,44.59,245,0.19,,
2026-08-28,44.6,1020,0.79,,
2026-08-28,44.64,83,0.06,,
2026-08-28,44.65,428,0.33,,
2026-08-28,44.67,643,0.50,,
2026-08-28,44.68,1855,1.43,,
2026-08-28,44.69,621,0.48,,
2026-08-28,44.7,1193,0.92,,
2026-08-28,44.71,264,0.20,,
2026-08-28,44.72,814,0.63,,
2026-08-28,44.73,154,0.12,,
2026-08-28,44.75,194,0.15,,
2026-08-28,44.76,657,0.51,,
2026-08-28,44.77,261,0.20,,
2026-08-28,44.79,1732,1.34,,
2026-08-28,44.8,821,0.63,,
2026-08-28,44.82,141,0.11,,
2026-08-28,44.85,1048,0.81,,
2026-08-28,44.86,290,0.22,,
2026-08-28,44.87,537,0.41,,
2026-08-28,44.88,759,0.59,,
2026-08-28,44.89,383,0.30,,
2026-08-28,44.9,226,0.17,,
2026-08-28,44.91,312,0.24,,
2026-08-28,44.92,1451,1.12,,
2026-08-28,44.93,582,0.45,,
2026-08-28,44.94,510,0.39,,
2026-08-28,44.95,3756,2.90,,
2026-08-28,44.96,1003,0.77,,
2026-08-28,44.98,826,0.64,,
2026-08-28,45.0,141,0.11,,
2026-08-28,45.02,101,0.08,,
2026-08-28,45.04,1053,0.81,,
2026-08-28,45.05,104,0.08,,
2026-08-28,45.06,708,0.55,,
2026-08-28,45.08,1741,1.34,,
2026-08-28,45.09,4404,3.40,,
2026-08-28,45.1,284,0.22,,
2026-08-28,45.11,1293,1.00,,
2026-08-28,45.13,1782,1.38,,
2026-08-28,45.18,1004,0.78,,
2026-08-28,45.2,567,0.44,,
2026-08-28,45.21,687,0.53,,
2026-08-28,45.23,293,0.23,,
2026-08-28,45.24,366,0.28,,
2026-08-28,45.25,1301,1.00,,
2026-08-28,45.28,770,0.59,,
2026-08-28,45.29,1188,0.92,,
2026-08-28,45.31,1158,0.89,,
2026-08-28,45.33,1390,1.07,,
2026-08-28,45.34,428,0.33,,
2026-08-28,45.35,629,0.49,,
2026-08-28,45.36,1265,0.98,,
2026-08-28,45.37,303,0.23,,
2026-08-28,45.38,445,0.34,,
2026-08-28,45.4,391,0.30,,
2026-08-28,45.41,1871,1.44,,
2026-08-28,45.44,942,0.73,,
2026-08-28,45.45,264,0.20,,
2026-08-28,45.46,1106,0.85,,
2026-08-28,45.47,3079,2.38,,
2026-08-28,45.48,853,0.66,,
2026-08-28,45.51,425,0.33,,
2026-08-28,45.52,928,0.72,,
2026-08-28,45.54,351,0.27,,
2026-08-28,45.55,883,0.68,,
2026-08-28,45.57,235,0.18,,
2026-08-28,45.58,202,0.16,,
2026-08-28,45.6,1673,1.29,,
2026-08-28,45.61,262,0.20,,
2026-08-28,45.63,444,0.34,,
2026-08-28,45.73,942,0.73,,
2026-08-28,45.77,1940,1.50,,
2026-08-28,45.79,1113,0.86,,
2026-08-28,45.82,420,0.32,,
2026-08-28,45.85,261,0.20,,
2026-08-28,45.9,393,0.30,,
2026-08-28,45.91,2420,1.87,,
2026-08-28,45.95,781,0.60,,
2026-08-28,46.0,1017,0.79,,
2026-08-28,46.06,2695,2.08,,
2026-08-28,46.12,5316,4.11,,
2026-08-28,46.15,1572,1.21,,
2026-08-28,46.18,523,0.40,,
2026-08-28,46.26,300,0.23,,
2026-08-28,46.27,819,0.63,,
2026-08-28,46.28,331,0.26,,
2026-08-28,46.31,1640,1.27,,
2026-08-28,46.34,613,0.47,,
2026-08-28,46.37,3027,2.34,,
2026-08-28,46.48,3724,2.88,,
2026-08-28,46.52,2161,1.67,,
2026-08-28,46.55,654,0.51,,
2026-08-28,46.6,1562,1.21,,
2026-08-28,46.8,2061,1.59,,
2026-08-28,46.88,3003,2.32,,
2026-08-31,43.0,952,1.01,989,0
2026-08-31,43.65,3480,3.70,216,391
2026-08-31,43.71,1635,1.74,30,0
2026-08-31,43.74,135,0.14,43,28
2026-08-31,43.75,1147,1.22,97,50
2026-08-31,43.78,170,0.18,63,46
2026-08-31,43.79,545,0.58,45,130
2026-08-31,43.86,154,0.16,27,6
2026-08-31,43.87,711,0.76,4,237
2026-08-31,43.88,238,0.25,258,966
2026-08-31,43.89,1421,1.51,441,296
2026-08-31,43.9,1240,1.32,568,448
2026-08-31,43.91,1479,1.57,475,263
2026-08-31,43.92,101,0.11,454,659
2026-08-31,43.93,509,0.54,373,454
2026-08-31,43.94,392,0.42,196,352
2026-08-31,43.96,761,0.81,125,373
2026-08-31,43.97,965,1.03,755,189
2026-08-31,43.98,1022,1.09,681,805
2026-08-31,43.99,772,0.82,418,367
2026-08-31,44.0,2723,2.90,452,563
2026-08-31,44.01,686,0.73,687,297
2026-08-31,44.02,956,1.02,383,354
2026-08-31,44.04,414,0.44,88,257
2026-08-31,44.05,2264,2.41,1232,746
2026-08-31,44.06,2292,2.44,412,822
2026-08-31,44.07,1221,1.30,247,324
2026-08-31,44.08,2331,2.48,361,41
2026-08-31,44.09,315,0.34,229,126
2026-08-31,44.1,451,0.48,1449,651
2026-08-31,44.11,392,0.42,351,89
2026-08-31,44.12,375,0.40,334,171
2026-08-31,44.14,89,0.09,101,70
2026-08-31,44.15,423,0.45,201,431
2026-08-31,44.16,406,0.43,396,134
2026-08-31,44.17,565,0.60,672,481
2026-08-31,44.18,419,0.45,439,672
2026-08-31,44.2,681,0.72,645,434
2026-08-31,44.21,401,0.43,278,304
2026-08-31,44.22,974,1.04,606,768
2026-08-31,44.23,1059,1.13,383,257
2026-08-31,44.24,1659,1.76,211,249
2026-08-31,44.25,593,0.63,500,336
2026-08-31,44.26,345,0.37,344,409
2026-08-31,44.27,1147,1.22,369,376
2026-08-31,44.28,1128,1.20,539,43
2026-08-31,44.29,1708,1.82,197,238
2026-08-31,44.3,445,0.47,290,274
2026-08-31,44.33,2474,2.63,166,64
2026-08-31,44.37,459,0.49,222,625
2026-08-31,44.4,690,0.73,354,260
2026-08-31,44.46,593,0.63,19,127
2026-08-31,44.47,389,0.41,49,685
2026-08-31,44.48,876,0.93,77,0
2026-08-31,44.5,1051,1.12,141,112
2026-08-31,44.56,952,1.01,420,66
2026-08-31,44.57,214,0.23,69,118
2026-08-31,44.59,264,0.28,179,12
2026-08-31,44.63,239,0.25,235,103
2026-08-31,44.66,1007,1.07,394,208
2026-08-31,44.67,641,0.68,48,80
2026-08-31,44.69,185,0.20,64,134
2026-08-31,44.71,377,0.40,123,119
2026-08-31,44.72,1262,1.34,436,59
2026-08-31,44.73,234,0.25,274,89
2026-08-31,44.74,373,0.40,198,193
2026-08-31,44.75,334,0.36,146,56
2026-08-31,44.76,129,0.14,81,16
2026-08-31,44.77,321,0.34,102,11
2026-08-31,44.81,178,0.19,39,62
2026-08-31,44.82,1063,1.13,100,80
2026-08-31,44.86,369,0.39,249,150
2026-08-31,44.89,53,0.06,35,131
2026-08-31,44.9,370,0.39,156,190
2026-08-31,44.91,3742,3.98,65,217
2026-08-31,44.92,793,0.84,262,121
2026-08-31,44.93,75,0.08,104,44
2026-08-31,44.95,754,0.80,136,426
2026-08-31,44.96,70,0.07,228,186
2026-08-31,44.97,169,0.18,69,75
2026-08-31,44.98,470,0.50,360,90
2026-08-31,44.99,348,0.37,21,274
2026-08-31,45.0,170,0.18,264,1450
2026-08-31,45.01,109,0.12,668,212
2026-08-31,45.02,1844,1.96,264,325
2026-08-31,45.03,149,0.16,292,82
2026-08-31,45.04,689,0.73,164,133
2026-08-31,45.05,117,0.12,916,280
2026-08-31,45.06,322,0.34,360,247
2026-08-31,45.07,121,0.13,217,81
2026-08-31,45.08,93,0.10,583,105
2026-08-31,45.09,436,0.46,181,105
2026-08-31,45.1,102,0.11,258,88
2026-08-31,45.12,236,0.25,165,167
2026-08-31,45.13,630,0.67,468,123
2026-08-31,45.14,113,0.12,348,31
2026-08-31,45.15,450,0.48,159,85
2026-08-31,45.16,186,0.20,139,149
2026-08-31,45.17,459,0.49,242,160
2026-08-31,45.18,117,0.12,289,481
2026-08-31,45.19,565,0.60,337,365
2026-08-31,45.2,2799,2.98,1051,898
2026-08-31,45.21,1127,1.20,902,214
2026-08-31,45.23,853,0.91,85,158
2026-08-31,45.24,1091,1.16,256,234
2026-08-31,45.26,410,0.44,122,403
2026-08-31,45.27,1031,1.10,563,689
2026-08-31,45.28,1145,1.22,664,530
2026-08-31,45.29,1692,1.80,210,1091
2026-08-31,45.3,1370,1.46,677,1090
2026-08-31,45.31,1426,1.52,635,331
2026-08-31,45.32,791,0.84,673,245
2026-08-31,45.33,1154,1.23,385,207
2026-08-31,45.34,1039,1.11,264,202
2026-08-31,45.35,438,0.47,373,804
2026-08-31,45.36,715,0.76,289,344
2026-08-31,45.37,576,0.61,386,237
2026-08-31,45.38,1128,1.20,462,575
2026-08-31,45.39,898,0.96,810,343
2026-08-31,45.4,221,0.24,442,373
2026-08-31,45.41,1044,1.11,264,203
2026-08-31,45.44,339,0.36,131,0
