日期,价格,手数
2026-08-13,18.04,1393
2026-08-13,18.05,2840
2026-08-13,18.06,7791
2026-08-13,18.07,4380
2026-08-13,18.08,6431
2026-08-13,18.09,12268
2026-08-13,18.10,13754
2026-08-13,18.11,13051
2026-08-13,18.12,13894
2026-08-13,18.13,17315
2026-08-13,18.14,10577
2026-08-13,18.15,4692
2026-08-13,18.16,4829
2026-08-13,18.17,1139
2026-08-13,18.18,2578
2026-08-14,18.02,5617
2026-08-14,18.04,5367
2026-08-14,18.05,7480
2026-08-14,18.06,7154
2026-08-14,18.07,12778
2026-08-14,18.08,8897
2026-08-14,18.09,12195
2026-08-14,18.10,12537
2026-08-14,18.11,7855
2026-08-14,18.12,5244
2026-08-14,18.13,7500
2026-08-14,18.14,1987
2026-08-14,18.15,3674
2026-08-14,18.16,2138
2026-08-14,18.17,1986
2026-08-14,18.18,1868
2026-08-14,18.19,2995
2026-08-14,18.20,3411
2026-08-17,17.91,2467
2026-08-17,17.92,3855
2026-08-17,17.93,1666
2026-08-17,17.94,9490
2026-08-17,17.95,8942
2026-08-17,17.96,9241
2026-08-17,17.97,9962
2026-08-17,17.98,14917
2026-08-17,17.99,13986
2026-08-17,18.00,13902
2026-08-17,18.01,11872
2026-08-17,18.02,7794
2026-08-17,18.03,6185
2026-08-17,18.04,1152
2026-08-18,17.95,3690
2026-08-18,17.96,11310
2026-08-18,17.97,8617
2026-08-18,17.98,8965
2026-08-18,17.99,10845
2026-08-18,18.00,9072
2026-08-18,18.01,6238
2026-08-18,18.02,1809
2026-08-18,18.03,3628
2026-08-18,18.04,3169
2026-08-18,18.05,2748
2026-08-18,18.06,6472
2026-08-18,18.07,11502
2026-08-18,18.08,11606
2026-08-18,18.09,8027
2026-08-18,18.10,4050
2026-08-18,18.11,4946
2026-08-18,18.12,12968
2026-08-18,18.13,8747
2026-08-18,18.14,6802
2026-08-18,18.15,9195
2026-08-18,18.16,15226
2026-08-18,18.17,7843
2026-08-18,18.18,4884
2026-08-18,18.19,4573
2026-08-18,18.21,7642
2026-08-19,18.08,604
2026-08-19,18.09,4505
2026-08-19,18.10,1410
2026-08-19,18.12,4899
2026-08-19,18.13,1859
2026-08-19,18.14,941
2026-08-19,18.15,3530
2026-08-19,18.17,6524
2026-08-19,18.19,11302
2026-08-19,18.20,2643
2026-08-19,18.21,4219
2026-08-19,18.22,13002
2026-08-19,18.24,6444
2026-08-19,18.26,7255
2026-08-19,18.27,877
2026-08-19,18.28,3057
2026-08-19,18.29,18216
2026-08-19,18.30,6819
2026-08-19,18.31,7734
2026-08-19,18.32,7362
2026-08-19,18.33,4326
2026-08-19,18.34,13327
2026-08-19,18.35,14684
2026-08-19,18.36,15515
2026-08-19,18.37,11817
2026-08-19,18.38,18522
2026-08-19,18.39,3991
2026-08-19,18.40,5326
2026-08-19,18.41,1997
2026-08-19,18.42,4447
