日期,价格,手数,占比%,主动买,主动卖
2026-08-14,32.93,2322,0.85,,
2026-08-14,32.94,1890,0.69,,
2026-08-14,32.96,591,0.22,,
2026-08-14,32.97,4791,1.75,,
2026-08-14,32.98,1955,0.71,,
2026-08-14,32.99,1393,0.51,,
2026-08-14,33.0,2482,0.90,,
2026-08-14,33.01,776,0.28,,
2026-08-14,33.02,3604,1.31,,
2026-08-14,33.03,5983,2.18,,
2026-08-14,33.04,1135,0.41,,
2026-08-14,33.05,3858,1.41,,
2026-08-14,33.06,3952,1.44,,
2026-08-14,33.07,563,0.21,,
2026-08-14,33.09,2674,0.97,,
2026-08-14,33.1,5508,2.01,,
2026-08-14,33.11,5605,2.04,,
2026-08-14,33.12,6902,2.52,,
2026-08-14,33.13,2559,0.93,,
2026-08-14,33.14,2861,1.04,,
2026-08-14,33.15,9674,3.53,,
2026-08-14,33.16,1764,0.64,,
2026-08-14,33.17,4007,1.46,,
2026-08-14,33.18,5470,1.99,,
2026-08-14,33.19,6953,2.53,,
2026-08-14,33.2,11038,4.02,,
2026-08-14,33.21,3319,1.21,,
2026-08-14,33.22,2104,0.77,,
2026-08-14,33.23,5890,2.15,,
2026-08-14,33.24,2273,0.83,,
2026-08-14,33.25,1075,0.39,,
2026-08-14,33.26,11783,4.29,,
2026-08-14,33.27,9271,3.38,,
2026-08-14,33.28,5687,2.07,,
2026-08-14,33.29,4033,1.47,,
2026-08-14,33.3,3264,1.19,,
2026-08-14,33.31,2255,0.82,,
2026-08-14,33.32,2397,0.87,,
2026-08-14,33.33,2681,0.98,,
2026-08-14,33.34,2746,1.00,,
2026-08-14,33.35,7282,2.65,,
2026-08-14,33.36,1400,0.51,,
2026-08-14,33.38,5293,1.93,,
2026-08-14,33.39,3512,1.28,,
2026-08-14,33.4,3048,1.11,,
2026-08-14,33.41,17605,6.42,,
2026-08-14,33.42,7411,2.70,,
2026-08-14,33.43,6372,2.32,,
2026-08-14,33.44,3263,1.19,,
2026-08-14,33.45,6134,2.24,,
2026-08-14,33.46,6937,2.53,,
2026-08-14,33.47,2320,0.85,,
2026-08-14,33.48,2988,1.09,,
2026-08-14,33.49,1884,0.69,,
2026-08-14,33.5,14893,5.43,,
2026-08-14,33.51,7897,2.88,,
2026-08-14,33.52,1667,0.61,,
2026-08-14,33.53,2704,0.99,,
2026-08-14,33.58,7263,2.65,,
2026-08-14,33.66,5464,1.99,,
2026-08-17,33.53,544,0.13,,
2026-08-17,33.55,4698,1.15,,
2026-08-17,33.66,2374,0.58,,
2026-08-17,33.71,5655,1.38,,
2026-08-17,33.81,2408,0.59,,
2026-08-17,33.82,3002,0.73,,
2026-08-17,33.83,3345,0.82,,
2026-08-17,33.84,1408,0.34,,
2026-08-17,33.89,2579,0.63,,
2026-08-17,33.9,6659,1.63,,
2026-08-17,33.92,1191,0.29,,
2026-08-17,33.93,1173,0.29,,
2026-08-17,33.96,2145,0.52,,
2026-08-17,33.99,5064,1.24,,
2026-08-17,34.0,1872,0.46,,
2026-08-17,34.02,8152,1.99,,
2026-08-17,34.04,3283,0.80,,
2026-08-17,34.05,3840,0.94,,
2026-08-17,34.06,5277,1.29,,
2026-08-17,34.08,3571,0.87,,
2026-08-17,34.09,1580,0.39,,
2026-08-17,34.1,9080,2.22,,
2026-08-17,34.11,2731,0.67,,
2026-08-17,34.14,1240,0.30,,
2026-08-17,34.15,2816,0.69,,
2026-08-17,34.16,2636,0.64,,
2026-08-17,34.18,1680,0.41,,
2026-08-17,34.19,3294,0.80,,
2026-08-17,34.2,9589,2.34,,
2026-08-17,34.21,2865,0.70,,
2026-08-17,34.22,3401,0.83,,
2026-08-17,34.23,3918,0.96,,
2026-08-17,34.24,5259,1.29,,
2026-08-17,34.25,2494,0.61,,
2026-08-17,34.26,4325,1.06,,
2026-08-17,34.27,4272,1.04,,
2026-08-17,34.28,1358,0.33,,
2026-08-17,34.3,6263,1.53,,
2026-08-17,34.32,4508,1.10,,
2026-08-17,34.33,5244,1.28,,
2026-08-17,34.35,2150,0.53,,
2026-08-17,34.36,4735,1.16,,
2026-08-17,34.37,5468,1.34,,
2026-08-17,34.38,6225,1.52,,
2026-08-17,34.39,2453,0.60,,
2026-08-17,34.4,963,0.24,,
2026-08-17,34.43,737,0.18,,
2026-08-17,34.44,2996,0.73,,
2026-08-17,34.46,2805,0.69,,
2026-08-17,34.47,6509,1.59,,
2026-08-17,34.48,7763,1.90,,
2026-08-17,34.49,2274,0.56,,
2026-08-17,34.5,5869,1.43,,
2026-08-17,34.51,2134,0.52,,
2026-08-17,34.52,2091,0.51,,
2026-08-17,34.53,4388,1.07,,
2026-08-17,34.54,1458,0.36,,
2026-08-17,34.55,511,0.12,,
2026-08-17,34.56,1893,0.46,,
2026-08-17,34.6,985,0.24,,
2026-08-17,34.62,3969,0.97,,
2026-08-17,34.63,3020,0.74,,
2026-08-17,34.64,373,0.09,,
2026-08-17,34.65,2216,0.54,,
2026-08-17,34.66,1415,0.35,,
2026-08-17,34.67,9181,2.24,,
2026-08-17,34.68,4721,1.15,,
2026-08-17,34.69,6892,1.68,,
2026-08-17,34.7,903,0.22,,
2026-08-17,34.71,5110,1.25,,
2026-08-17,34.72,8024,1.96,,
2026-08-17,34.73,2284,0.56,,
2026-08-17,34.74,4340,1.06,,
2026-08-17,34.75,640,0.16,,
2026-08-17,34.76,2985,0.73,,
2026-08-17,34.77,2244,0.55,,
2026-08-17,34.78,693,0.17,,
2026-08-17,34.79,2143,0.52,,
2026-08-17,34.8,4801,1.17,,
2026-08-17,34.81,1148,0.28,,
2026-08-17,34.82,2215,0.54,,
2026-08-17,34.84,966,0.24,,
2026-08-17,34.85,1023,0.25,,
2026-08-17,34.87,1777,0.43,,
2026-08-17,34.88,1375,0.34,,
2026-08-17,34.89,2190,0.54,,
2026-08-17,34.9,7494,1.83,,
2026-08-17,34.91,680,0.17,,
2026-08-17,34.92,2041,0.50,,
2026-08-17,34.95,7239,1.77,,
2026-08-17,34.96,1474,0.36,,
2026-08-17,34.97,5457,1.33,,
2026-08-17,34.98,1155,0.28,,
2026-08-17,34.99,7658,1.87,,
2026-08-17,35.0,6938,1.70,,
2026-08-17,35.01,8789,2.15,,
2026-08-17,35.02,4053,0.99,,
2026-08-17,35.03,967,0.24,,
2026-08-17,35.04,6738,1.65,,
2026-08-17,35.05,8608,2.10,,
2026-08-17,35.06,23462,5.73,,
2026-08-17,35.07,4352,1.06,,
2026-08-17,35.08,1047,0.26,,
2026-08-17,35.09,2684,0.66,,
2026-08-17,35.11,7060,1.73,,
2026-08-17,35.13,3288,0.80,,
2026-08-17,35.14,3456,0.84,,
2026-08-17,35.15,6768,1.65,,
2026-08-18,34.18,1931,0.49,,
2026-08-18,34.19,3131,0.80,,
2026-08-18,34.22,1550,0.39,,
2026-08-18,34.23,953,0.24,,
2026-08-18,34.24,4422,1.13,,
2026-08-18,34.25,3451,0.88,,
2026-08-18,34.26,1138,0.29,,
2026-08-18,34.27,2885,0.73,,
2026-08-18,34.28,910,0.23,,
2026-08-18,34.29,3560,0.91,,
2026-08-18,34.3,5160,1.31,,
2026-08-18,34.31,4022,1.02,,
2026-08-18,34.32,6488,1.65,,
2026-08-18,34.33,2425,0.62,,
2026-08-18,34.34,4481,1.14,,
2026-08-18,34.35,4321,1.10,,
2026-08-18,34.36,5701,1.45,,
2026-08-18,34.37,1512,0.38,,
2026-08-18,34.38,4757,1.21,,
2026-08-18,34.39,3434,0.87,,
2026-08-18,34.4,4124,1.05,,
2026-08-18,34.41,789,0.20,,
2026-08-18,34.42,2984,0.76,,
2026-08-18,34.43,8887,2.26,,
2026-08-18,34.44,4828,1.23,,
2026-08-18,34.45,4295,1.09,,
2026-08-18,34.46,5115,1.30,,
2026-08-18,34.47,2483,0.63,,
2026-08-18,34.48,373,0.09,,
2026-08-18,34.49,978,0.25,,
2026-08-18,34.5,4135,1.05,,
2026-08-18,34.51,4269,1.09,,
2026-08-18,34.52,11048,2.81,,
2026-08-18,34.53,2734,0.70,,
2026-08-18,34.54,3597,0.92,,
2026-08-18,34.55,2895,0.74,,
2026-08-18,34.56,1842,0.47,,
2026-08-18,34.57,1321,0.34,,
2026-08-18,34.58,3513,0.89,,
2026-08-18,34.59,2080,0.53,,
2026-08-18,34.6,2537,0.65,,
2026-08-18,34.61,3638,0.93,,
2026-08-18,34.62,796,0.20,,
2026-08-18,34.63,942,0.24,,
2026-08-18,34.64,2537,0.65,,
2026-08-18,34.65,3519,0.90,,
2026-08-18,34.66,3330,0.85,,
2026-08-18,34.67,5368,1.37,,
2026-08-18,34.68,6239,1.59,,
2026-08-18,34.69,975,0.25,,
2026-08-18,34.7,1176,0.30,,
2026-08-18,34.71,7741,1.97,,
2026-08-18,34.73,4794,1.22,,
2026-08-18,34.74,2578,0.66,,
2026-08-18,34.75,1950,0.50,,
2026-08-18,34.76,3139,0.80,,
2026-08-18,34.78,4614,1.17,,
2026-08-18,34.79,1231,0.31,,
2026-08-18,34.8,12236,3.12,,
2026-08-18,34.81,1383,0.35,,
2026-08-18,34.82,3475,0.88,,
2026-08-18,34.84,2245,0.57,,
2026-08-18,34.85,2828,0.72,,
2026-08-18,34.86,2470,0.63,,
2026-08-18,34.88,3306,0.84,,
2026-08-18,34.89,1107,0.28,,
2026-08-18,34.9,1404,0.36,,
2026-08-18,34.92,4730,1.20,,
2026-08-18,34.93,4551,1.16,,
2026-08-18,34.96,965,0.25,,
2026-08-18,34.98,643,0.16,,
2026-08-18,34.99,2072,0.53,,
2026-08-18,35.0,3053,0.78,,
2026-08-18,35.03,2327,0.59,,
2026-08-18,35.06,4581,1.17,,
2026-08-18,35.07,3087,0.79,,
2026-08-18,35.08,1935,0.49,,
2026-08-18,35.09,4090,1.04,,
2026-08-18,35.1,1947,0.50,,
2026-08-18,35.11,4057,1.03,,
2026-08-18,35.12,5677,1.45,,
2026-08-18,35.13,1039,0.26,,
2026-08-18,35.14,2037,0.52,,
2026-08-18,35.15,8058,2.05,,
2026-08-18,35.17,2064,0.53,,
2026-08-18,35.18,2126,0.54,,
2026-08-18,35.19,2209,0.56,,
2026-08-18,35.2,8609,2.19,,
2026-08-18,35.21,7638,1.94,,
2026-08-18,35.22,1923,0.49,,
2026-08-18,35.23,5435,1.38,,
2026-08-18,35.25,3730,0.95,,
2026-08-18,35.27,8841,2.25,,
2026-08-18,35.31,10590,2.70,,
2026-08-18,35.32,4341,1.11,,
2026-08-18,35.33,2254,0.57,,
2026-08-18,35.34,3397,0.86,,
2026-08-18,35.36,16680,4.25,,
2026-08-18,35.38,3875,0.99,,
2026-08-18,35.4,4220,1.07,,
2026-08-18,35.41,3259,0.83,,
2026-08-18,35.43,6117,1.56,,
2026-08-18,35.44,3643,0.93,,
2026-08-18,35.52,5889,1.50,,
2026-08-18,35.55,5014,1.28,,
2026-08-19,31.81,1937,0.40,,
2026-08-19,31.82,4472,0.92,,
2026-08-19,31.83,1929,0.40,,
2026-08-19,31.85,1924,0.40,,
2026-08-19,31.87,1878,0.39,,
2026-08-19,31.88,3905,0.80,,
2026-08-19,31.89,110,0.02,,
2026-08-19,31.9,3946,0.81,,
2026-08-19,31.91,7704,1.58,,
2026-08-19,31.92,1813,0.37,,
2026-08-19,31.94,6759,1.39,,
2026-08-19,31.95,1659,0.34,,
2026-08-19,31.96,7248,1.49,,
2026-08-19,31.97,15362,3.16,,
2026-08-19,31.98,3963,0.81,,
2026-08-19,32.02,3597,0.74,,
2026-08-19,32.03,3489,0.72,,
2026-08-19,32.04,4404,0.91,,
2026-08-19,32.05,5562,1.14,,
2026-08-19,32.06,3769,0.77,,
2026-08-19,32.11,1800,0.37,,
2026-08-19,32.12,1207,0.25,,
2026-08-19,32.13,1336,0.27,,
2026-08-19,32.15,1287,0.26,,
2026-08-19,32.16,6189,1.27,,
2026-08-19,32.17,3922,0.81,,
2026-08-19,32.18,2358,0.48,,
2026-08-19,32.19,6495,1.33,,
2026-08-19,32.2,6442,1.32,,
2026-08-19,32.21,2212,0.45,,
2026-08-19,32.22,1685,0.35,,
2026-08-19,32.23,5443,1.12,,
2026-08-19,32.25,3114,0.64,,
2026-08-19,32.26,2946,0.61,,
2026-08-19,32.27,3466,0.71,,
2026-08-19,32.28,4802,0.99,,
2026-08-19,32.29,8100,1.66,,
2026-08-19,32.3,1677,0.34,,
2026-08-19,32.31,772,0.16,,
2026-08-19,32.32,6997,1.44,,
2026-08-19,32.33,2550,0.52,,
2026-08-19,32.34,761,0.16,,
2026-08-19,32.35,3605,0.74,,
2026-08-19,32.37,1849,0.38,,
2026-08-19,32.38,839,0.17,,
2026-08-19,32.39,1342,0.28,,
2026-08-19,32.4,499,0.10,,
2026-08-19,32.44,2149,0.44,,
2026-08-19,32.45,8436,1.73,,
2026-08-19,32.46,907,0.19,,
2026-08-19,32.47,1470,0.30,,
2026-08-19,32.48,861,0.18,,
2026-08-19,32.5,1700,0.35,,
2026-08-19,32.51,3809,0.78,,
2026-08-19,32.52,1528,0.31,,
2026-08-19,32.53,952,0.20,,
2026-08-19,32.54,1650,0.34,,
2026-08-19,32.55,2058,0.42,,
2026-08-19,32.59,799,0.16,,
2026-08-19,32.61,6589,1.35,,
2026-08-19,32.62,603,0.12,,
2026-08-19,32.64,4340,0.89,,
2026-08-19,32.65,3566,0.73,,
2026-08-19,32.66,2987,0.61,,
2026-08-19,32.67,1823,0.37,,
2026-08-19,32.68,837,0.17,,
2026-08-19,32.69,552,0.11,,
2026-08-19,32.71,1676,0.34,,
2026-08-19,32.73,2800,0.58,,
2026-08-19,32.76,4877,1.00,,
2026-08-19,32.77,5135,1.06,,
2026-08-19,32.78,3265,0.67,,
2026-08-19,32.79,1006,0.21,,
2026-08-19,32.8,542,0.11,,
2026-08-19,32.82,1891,0.39,,
2026-08-19,32.83,3774,0.78,,
2026-08-19,32.84,3082,0.63,,
2026-08-19,32.85,1570,0.32,,
2026-08-19,32.86,4766,0.98,,
2026-08-19,32.87,1067,0.22,,
2026-08-19,32.89,901,0.19,,
2026-08-19,32.9,3162,0.65,,
2026-08-19,32.91,806,0.17,,
2026-08-19,32.94,1059,0.22,,
